	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	p	b	f
g1.u3	2,1688976	1,22E-01	0,8232764	0,15033502	-0,35071687	-0,36917565	-1,8901043	2,0838458	p0	b0	f0
B1.b1.g1.u3	2,50789898	1,06E+00	0,899236	0,41054982	-0,43008153	-0,4527174	-2,0930656	4,5079068	p0	b1	f0
B2.b2.g1.u3	0,92161955	1,61E-01	0,6179919	1,17E-01	-0,16147348	-0,16997209	-1,282502	1,86E+00	p0	 b2	f0  
B4.b5.g1.u3	0,37518224	8,19E-03	0,5141593	7,64E-02	-0,10139245	-0,10672889	-1,0162727	8,00E-01	p0	b5	f0
B6.b7.g1.u3	0,48444249	2,31E-02	0,6704174	1,05E-01	-0,16696212	-0,1757496	-1,3041166	9,87E-01	p0	b7	f0
f6.g1.u3	1,88948141	4,36E-02	0,8631038	1,61E-01	-0,34999031	-0,36841085	-1,8881455	2,04E+00	p0	b0	f6
B1.b1.f6.g1.u3	2,4244024	1,20E+00	0,9064078	4,34E-01	-0,42574162	-0,44814907	-2,0824784	4,59E+00	p0	b1	f6
B2.b2.f6.g1.u3	0,78815329	2,10E-01	0,5672354	1,09E-01	-0,13428665	-0,14135437	-1,1695637	1,91E+00	p0	b2	f6
B4.b5.f6.g1.u3	0,09582517	2,24E-02	0,6956173	1,03E-01	-0,16246935	-0,17102037	-1,2864508	9,15E-01	p0	b5	f6
B6.b7.f6.g1.u3	0,33542702	7,46E-02	0,6940852	1,12E-01	-0,17106759	-0,18007115	-1,3200529	1,06E+00	p0	b7	f6
f7.g1.u3	1,83010846	2,77E-01	0,7924539	1,94E-01	-0,30456643	-0,32059624	-1,7613614	2,82E+00	p0	b0	f7
B1.b1.f7.g1.u3	2,30295882	1,67E+00	0,8735889	4,94E-01	-0,39370429	-0,41442557	-2,0025922	4,86E+00	p0	b1	f7
B2.b2.f7.g1.u3	0,84738483	4,80E-01	0,482053	1,14E-01	-0,10157346	-0,10691944	-1,0171795	2,65E+00	p0	b2	f7
B4.b5.f7.g1.u3	0,1058618	2,83E-01	0,5594979	1,04E-01	-0,11077513	-0,1166054	-1,0622545	1,58E+00	p0	b5	f7
B6.b7.f7.g1.u3	0,32945531	3,46E-01	0,568683	1,14E-01	-0,12039323	-0,12672972	-1,1074101	1,95E+00	p0	b7	f7
f8.g1.u3	2,22801847	3,78E-01	0,6626201	1,86E-01	-0,25622882	-0,26971455	-1,6155538	3,37E+00	p0	b0	f8
