	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	s	b	f
R2.g1.p1.u3.y1	2,446717978	5,15E-01	0,8483574	0,12162452	-0,39224864	-0,41289331	-1,9988867	1,6589419	s0	b0	f0
R2.g1.p1.s1.u3.y1	2,261400959	5,49E-01	0,7784053	0,10423019	-0,33119689	-0,3486283	-1,8367522	1,4118297	s1	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,842242342	5,64E-01	0,8891508	3,31E-01	-0,46060379	-0,4848461	-2,1660636	4,12E+00	s0	b1	f0
B1.R2.b1.g1.p1.s1.u3.y1	2,634712989	3,23E-01	0,7968821	2,36E-01	-0,37778825	-0,39767184	-1,9616958	3,55E+00	s1	b1	f0
B2.R2.b2.g1.p1.u3.y1	5,448265366	6,42E+00	1,0671086	1,18E-01	-0,93560505	-0,98484742	-3,0871215	2,31E+00	s0	b2	f0
B2.R2.b2.g1.p1.s1.u3.y1	3,219228473	1,41E+00	1,0382919	1,16E-01	-0,5976106	-0,62906379	-2,4672695	1,92E+00	s1	b2	f0
B3.R2.b3.g1.p1.u3.y1	1,555735804	3,83E-01	0,8110814	1,07E-01	-0,29469152	-0,3102016	-1,7325719	1,46E+00	s0	b3	f0
B3.R2.b3.g1.p1.s1.u3.y1	1,45179292	6,01E-01	0,6644044	7,37E-02	-0,20911622	-0,22012234	-1,4594906	1,94E+00	s1	b3	f0
B7.R2.b4.g1.p1.u3.y1	1,626987971	3,53E-01	0,8403423	1,15E-01	-0,31606479	-0,33269978	-1,7943019	1,49E+00	s0	 b4	f0
B7.R2.b4.g1.p1.s1.u3.y1	1,217354967	4,75E-01	0,5495621	6,32E-02	-0,14185749	-0,14932368	-1,2020806	1,63E+00	s1	b4	f0
B4.R2.b5.g1.p1.u3.y1	1,046990719	4,68E-01	0,8625456	9,91E-02	-0,28668663	-0,3017754	-1,7088784	1,74E+00	s0	b5	f0
B4.R2.b5.g1.p1.s1.u3.y1	0,755122009	6,26E-01	0,5868119	5,73E-02	-0,1414326	-0,14887642	-1,200279	2,78E+00	s1	b5	f0
B5.R2.b6.g1.p1.u3.y1	1,560921302	3,86E-01	0,8257469	1,09E-01	-0,30309753	-0,31905003	-1,7571088	1,42E+00	s0	b6	f0
B5.R2.b6.g1.p1.s1.u3.y1	1,244302777	5,36E-01	0,5534732	6,14E-02	-0,14467902	-0,15229371	-1,2139764	1,81E+00	s1	b6	f0
B6.R2.b7.g1.p1.u3.y1	1,163179421	3,59E-01	0,7858005	9,88E-02	-0,25524554	-0,26867952	-1,612451	1,34E+00	s0	b7	f0
B6.R2.b7.g1.p1.s1.u3.y1	0,980245264	5,49E-01	0,5278759	5,57E-02	-0,12403963	-0,13056803	-1,1240553	2,12E+00	s1	b7	f0
R2.f2.g1.p1.u3.y1	2,235304967	1,67E-02	0,8514281	1,74E-01	-0,37383027	-0,39350554	-1,9513927	2,48E+00	s0	b0	f2
R2.f2.g1.p1.s1.u3.y1	2,052159188	2,32E-01	0,7355927	1,18E-01	-0,2879771	-0,30313379	-1,7127202	1,65E+00	s1	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,549853488	1,21E+00	0,8763805	4,31E-01	-0,42032864	-0,4424512	-2,0691975	4,65E+00	s0	b1	f2
B1.R2.b1.f2.g1.p1.s1.u3.y1	2,600833275	5,22E-01	0,7939923	2,69E-01	-0,37252076	-0,39212711	-1,9479719	3,90E+00	s1	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	1,19911045	2,28E-01	0,5725768	1,19E-01	-0,15177966	-0,15976807	-1,2434097	2,26E+00	s0	b2	f2
B2.R2.b2.f2.g1.p1.s1.u3.y1	1,561846563	2,39E-01	0,4957758	7,15E-02	-0,1295507	-0,13636915	-1,1487548	1,01E+00	s1	b2	f2
B3.R2.b3.f2.g1.p1.u3.y1	1,250581368	6,60E-02	0,5673694	1,03E-01	-0,15139781	-0,15936611	-1,2418446	1,73E+00	s0	b3	f2
B3.R2.b3.f2.g1.p1.s1.u3.y1	1,343709416	3,09E-01	0,5103285	6,73E-02	-0,12855431	-0,13532032	-1,1443286	1,06E+00	s1	b3	f2
B7.R2.b4.f2.g1.p1.u3.y1	0,973567928	1,41E-01	0,6308294	1,18E-01	-0,16951713	-0,17843909	-1,3140571	1,78E+00	s0	b4	f2
B7.R2.b4.f2.g1.p1.s1.u3.y1	1,222028597	2,82E-01	0,5259006	6,96E-02	-0,13131626	-0,13822764	-1,1565561	1,07E+00	s1	b4	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,378439621	6,07E-02	0,5971686	9,53E-02	-0,13295594	-0,13995362	-1,1637544	1,00E+00	s0	b5	f2
B4.R2.b5.f2.g1.p1.s1.u3.y1	0,813729289	4,04E-01	0,5045769	5,73E-02	-0,10946387	-0,11522512	-1,0559488	1,57E+00	s1	b5	f2
