	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	R	y	b	f
g1.p1.u3	2,0710538	1,06E-01	0,8566594	0,15628981	-0,36200977	-0,38106291	-1,9202934	2,0517438	R0	y0	b0	f0
B1.b1.g1.p1.u3	2,50757327	1,06E+00	0,8991393	0,41049011	-0,42998796	-0,4526189	-2,0928379	4,5078344	R0	y0	b1	f0 
B2.b2.g1.p1.u3	0,95904688	9,49E-02	0,7962373	1,44E-01	-0,24826756	-0,26133428	-1,5902574	1,87E+00	R0	y0	b2	f0
B4.b5.g1.p1.u3	0,5478332	1,06E-01	0,7684492	1,08E-01	-0,2130706	-0,22428484	-1,4732254	1,04E+00	R0	y0	b5	f0
B6.b7.g1.p1.u3	0,48377106	2,32E-02	0,6702016	1,05E-01	-0,16684312	-0,17562434	-1,3036518	9,86E-01	R0	y0	b7	f0
f10.g1.p1.u3	2,24099509	4,80E-01	0,8752991	1,24E-01	-0,38877461	-0,40923643	-1,9900152	1,61E+00	R0	y0	b0	f10
B1.b1.f10.g1.p1.u3	2,73981622	5,83E-01	0,9116657	3,37E-01	-0,46313309	-0,48750851	-2,1720027	4,09E+00	R0	y0	b1	f10
B2.b2.f10.g1.p1.u3	6,02226383	6,88E+00	0,6367827	5,51E-02	-0,7819906	-0,823148	-2,8223327	3,96E+00	R0	y0	b2	f10
B4.b5.f10.g1.p1.u3	0,83534168	4,82E-01	0,8222845	9,03E-02	-0,25373818	-0,26709282	-1,6076828	1,96E+00	R0	y0	b5	f10
B6.b7.f10.g1.p1.u3	0,88539038	3,17E-01	0,8074771	1,00E-01	-0,24947747	-0,26260786	-1,5941277	1,32E+00	R0	y0	b7	f10
f2.g1.p1.u3	1,86335062	1,41E-01	0,8079947	1,78E-01	-0,31611463	-0,33275225	-1,7944433	2,51E+00	R0	y0	b0	f2
B1.b1.f2.g1.p1.u3	2,38982507	1,42E+00	0,8888496	4,65E-01	-0,41156823	-0,43322972	-2,047521	4,74E+00	R0	y0	b1	f2
B2.b2.f2.g1.p1.u3	0,83049186	3,49E-01	0,5045918	1,09E-01	-0,10994549	-0,1157321	-1,0582692	2,32E+00	R0	y0	b2	f2
B4.b5.f2.g1.p1.u3	0,11725299	1,62E-01	0,595566	1,00E-01	-0,12430529	-0,13084767	-1,1252584	1,17E+00	R0	y0	b5	f2
B6.b7.f2.g1.p1.u3	0,34436149	2,16E-01	0,5981388	1,09E-01	-0,13224709	-0,13920747	-1,160648	1,56E+00	R0	y0	b7	f2
f3.g1.p1.u3	1,82794678	4,21E-01	0,7576985	2,06E-01	-0,28437329	-0,29934031	-1,7019698	3,18E+00	R0	y0	b0	f3
B1.b1.f3.g1.p1.u3	2,30227338	1,82E+00	0,8635504	5,14E-01	-0,38753738	-0,40793409	-1,9868462	4,94E+00	R0	y0	b1	f3
B2.b2.f3.g1.p1.u3	0,91865863	5,67E-01	0,4518862	1,14E-01	-0,09186081	-0,09669559	-0,9673254	2,90E+00	R0	y0	b2	f3
B4.b5.f3.g1.p1.u3	0,19061948	3,71E-01	0,5093959	1,02E-01	-0,09525392	-0,10026728	-0,9850287	1,90E+00	R0	y0	b5	f3
B6.b7.f3.g1.p1.u3	0,39840063	4,34E-01	0,5160254	1,11E-01	-0,10265638	-0,10805935	-1,0225874	2,22E+00	R0	y0	b7	f3
f6.g1.p1.u3	1,88506887	1,30E-02	0,8612113	1,66E-01	-0,34853292	-0,36687676	-1,8842102	2,13E+00	R0	y0	b0	f6
B1.b1.f6.g1.p1.u3	2,40726533	1,22E+00	0,9037307	4,36E-01	-0,42236128	-0,44459082	-2,0741946	4,60E+00	R0	y0	b1	f6
B2.b2.f6.g1.p1.u3	0,7826732	2,30E-01	0,5589065	1,09E-01	-0,13060972	-0,13748392	-1,1534405	1,97E+00	R0	y0	b2	f6
B4.b5.f6.g1.p1.u3	0,07716588	4,42E-02	0,6840983	1,03E-01	-0,15718265	-0,16545542	-1,2653473	9,14E-01	R0	y0	b5	f6
B6.b7.f6.g1.p1.u3	0,31722389	9,74E-02	0,6836604	1,12E-01	-0,16598335	-0,17471932	-1,3002885	1,12E+00	R0	y0	b7	f6
f7.g1.p1.u3	1,82260147	3,15E-01	0,7908802	1,99E-01	-0,3030882	-0,31904021	-1,7570817	2,92E+00	R0	y0	b0	f7
B1.b1.f7.g1.p1.u3	2,28890065	1,70E+00	0,8701153	4,96E-01	-0,39023954	-0,41077847	-1,9937609	4,87E+00	R0	y0	b1	f7
B2.b2.f7.g1.p1.u3	0,85098964	5,02E-01	0,4775683	1,15E-01	-0,09993754	-0,10519741	-1,0089549	2,70E+00	R0	y0	b2	f7
B4.b5.f7.g1.p1.u3	0,09832319	3,06E-01	0,5526187	1,04E-01	-0,10812026	-0,1138108	-1,0494482	1,65E+00	R0	y0	b5	f7
B6.b7.f7.g1.p1.u3	0,32225561	3,70E-01	0,5615514	1,15E-01	-0,1174822	-0,12366548	-1,09394	2,01E+00	R0	y0	b7	f7
