	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	p	r	R	b	f
g1.r1.u3.y1	2,28569726	1,67E-01	0,8761624	0,15832964	-0,39358888	-0,41430408	-2,0022987	2,1150394	p0	r1	R0	b0	f0
B1.b1.g1.r1.u3.y1	2,50778914	1,06E+00	0,8991782	0,41050572	-0,43003452	-0,45266791	-2,0929512	4,5078317	p0	r1	R0	b1	f0
B2.b2.g1.r1.u3.y1	0,9841256	1,12E-01	0,5868865	0,1071311	-0,14991744	-0,15780783	-1,2357583	1,7134352	p0	r1	R0	b2	f0
B3.b3.g1.r1.u3.y1	0,85308092	1,55E-02	0,8836163	0,14246975	-0,28453098	-0,2995063	-1,7024416	1,2779953	p0	r1	R0	b3	f0
B7.b4.g1.r1.u3.y1	0,96094381	3,47E-02	0,7387415	1,26E-01	-0,22024019	-0,23183178	-1,4978066	1,40E+00	p0	r1	R0	b4	f0
B4.b5.g1.r1.u3.y1	0,77406877	1,45E-01	0,8403541	1,18E-01	-0,25883231	-0,27245506	-1,6237408	1,01E+00	p0	r1	R0	b5	f0  
B5.b6.g1.r1.u3.y1	0,87020629	1,74E-02	0,7132097	1,18E-01	-0,20335512	-0,21405802	-1,4392459	1,27E+00	p0	r1	R0	 b6	f0
B6.b7.g1.r1.u3.y1	0,48799823	2,24E-02	0,6701003	1,05E-01	-0,16696793	-0,17575571	-1,3041393	9,87E-01	p0	r1	R0	b7	f0
f1.g1.r1.u3.y1	2,01473641	2,59E-01	0,8776696	1,39E-01	-0,36929047	-0,38872681	-1,9395076	1,60E+00	p0	r1	R0	b0	f1
B1.b1.f1.g1.r1.u3.y1	2,56276491	8,47E-01	0,9083499	3,77E-01	-0,44151095	-0,46474837	-2,1206949	4,32E+00	p0	r1	R0	b1	f1
B2.b2.f1.g1.r1.u3.y1	4,79692289	1,53E+00	0,6636816	1,02E-01	-0,55816578	-0,58754293	-2,3844546	2,65E+00	p0	r1	R0	b2	f1
B3.b3.f1.g1.r1.u3.y1	1,80796973	3,84E-01	1,0149628	1,43E-01	-0,42645745	-0,44890258	-2,0842284	1,59E+00	 p0	r1	R0	b3	f1
B7.b4.f1.g1.r1.u3.y1	1,14207303	1,23E-01	0,8222321	1,25E-01	-0,27249354	-0,28683531	-1,6660405	1,35E+00	p0	r1	R0	b4	f1
B4.b5.f1.g1.r1.u3.y1	1,54309072	5,32E-01	1,0170483	1,23E-01	-0,40366842	-0,42491413	-2,0277753	1,51E+00	p0	r1	R0	b5	f1
B5.b6.f1.g1.r1.u3.y1	1,03132542	1,42E-01	0,7958752	1,17E-01	-0,25235425	-0,26563605	-1,6032925	1,20E+00	p0	r1	R0	b6	f1
B6.b7.f1.g1.r1.u3.y1	0,61443656	1,23E-01	0,7657177	1,07E-01	-0,2151249	-0,22644726	-1,4803104	1,04E+00	p0	r1	R0	b7	f1
f10.g1.r1.u3.y1	2,408899	5,56E-01	0,9057715	1,26E-01	-0,42376071	-0,4460639	-2,077628	1,73E+00	p0	r1	R0	b0	f10
B1.b1.f10.g1.r1.u3.y1	2,73785896	5,88E-01	0,9109618	3,38E-01	-0,46247213	-0,48681277	-2,1704522	4,09E+00	p0	r1	R0	b1	f10
B2.b2.f10.g1.r1.u3.y1	3,29998888	1,28E+00	1,187249	1,47E-01	-0,68158581	-0,71745874	-2,6349217	1,91E+00	p0	r1	R0	b2	f10
B3.b3.f10.g1.r1.u3.y1	1,72038839	5,90E-01	0,989959	1,19E-01	-0,40522531	-0,42655296	-2,031682	1,84E+00	p0	r1	R0	b3	f10
B7.b4.f10.g1.r1.u3.y1	1,39406474	3,01E-01	0,8646813	1,19E-01	-0,31184671	-0,3282597	-1,7822886	1,43E+00	p0	r1	R0	b4	f10
B4.b5.f10.g1.r1.u3.y1	3,68152826	1,45E+00	0,8289832	9,89E-02	-0,52696975	-0,554705	-2,3168627	2,07E+00	p0	r1	R0	b5	f10
B5.b6.f10.g1.r1.u3.y1	1,3046869	3,28E-01	0,847256	1,12E-01	-0,29629266	-0,31188702	-1,7372723	1,36E+00	p0	r1	R0	b6	f10
B6.b7.f10.g1.r1.u3.y1	0,87321111	2,99E-01	0,8006092	1,01E-01	-0,24544097	-0,25835891	-1,5811788	1,28E+00	p0	r1	R0	b7	f10
f2.g1.r1.u3.y1	1,96318076	1,82E-01	0,8926166	1,50E-01	-0,3733102	-0,39295811	-1,9500349	1,72E+00	p0	r1	R0	b0	f2
B1.b1.f2.g1.r1.u3.y1	3,39037091	8,56E-01	0,9989523	5,20E-01	-0,59834791	-0,6298399	-2,4687911	4,78E+00	p0	r1	R0	b1	f2
B2.b2.f2.g1.r1.u3.y1	3,07554023	3,68E-01	0,6800925	1,20E-01	-0,33940063	-0,35726382	-1,8593612	2,09E+00	p0	r1	R0	b2	f2
B3.b3.f2.g1.r1.u3.y1	0,91215277	5,45E-02	0,7455192	1,16E-01	-0,22093361	-0,2325617	-1,5001626	1,20E+00	p0	r1	R0	b3	f2
B7.b4.f2.g1.r1.u3.y1	0,98385682	3,57E-02	0,7960752	1,28E-01	-0,24964141	-0,26278043	-1,5946514	1,34E+00	p0	r1	R0	b4	f2
B4.b5.f2.g1.r1.u3.y1	0,33171925	1,18E-01	0,7968335	1,07E-01	-0,21521285	-0,22653985	-1,480613	1,05E+00	p0	r1	R0	b5	f2
B5.b6.f2.g1.r1.u3.y1	0,84889869	4,48E-02	0,7636581	1,19E-01	-0,22628392	-0,2381936	-1,5182185	1,17E+00	p0	r1	R0	b6	f2
B6.b7.f2.g1.r1.u3.y1	1,68709202	4,87E-02	1,1124444	2,04E-01	-0,46460817	-0,48906123	-2,1754588	1,82E+00	p0	r1	R0	b7	f2
f3.g1.r1.u3.y1	1,96171643	6,00E-02	0,8548281	1,79E-01	-0,35137883	-0,36987245	-1,8918872	2,43E+00	p0	r1	R0	b0	f3
B1.b1.f3.g1.r1.u3.y1	2,37743074	1,38E+00	0,8847839	4,53E-01	-0,40784867	-0,42931439	-2,0382478	4,71E+00	p0	r1	R0	b1	f3
B2.b2.f3.g1.r1.u3.y1	1,17841442	2,70E-01	0,5164129	1,10E-01	-0,12562364	-0,13223541	-1,1312097	2,36E+00	p0	r1	R0	b2	f3
B3.b3.f3.g1.r1.u3.y1	2,19560464	8,94E-02	0,6827697	1,27E-01	-0,26638182	-0,28040192	-1,6472509	1,96E+00	p0	r1	R0	b3	f3
B7.b4.f3.g1.r1.u3.y1	0,82412849	2,07E-01	0,6804342	1,32E-01	-0,18585831	-0,19564032	-1,3759366	1,89E+00	p0	r1	R0	b4	f3
B4.b5.f3.g1.r1.u3.y1	0,22778871	1,27E-01	0,6118692	1,02E-01	-0,13389569	-0,14094283	-1,1678599	1,14E+00	p0	r1	R0	b5	f3
B5.b6.f3.g1.r1.u3.y1	0,73619506	1,85E-01	0,6501025	1,22E-01	-0,1682977	-0,17715547	-1,3093222	1,76E+00	p0	r1	R0	b6	f3
B6.b7.f3.g1.r1.u3.y1	0,37387838	1,87E-01	0,6218524	1,11E-01	-0,1426709	-0,15017989	-1,205522	1,49E+00	p0	r1	R0	b7	f3
f4.g1.r1.u3.y1	2,06537254	3,32E-01	0,9166118	1,40E-01	-0,39642124	-0,41728552	-2,0094903	1,61E+00	p0	r1	R0	b0	f4
