	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	y	b	f	R
g1.p1.u3	2,0710538	0,10572131	0,8566594	0,1562898	-0,36200977	-0,3810629	-1,920293	2,0517438	y0	b0	f0	R0
B1.b1.g1.p1.u3	2,50757327	1,06012405	0,8991393	0,4104901	-0,42998796	-0,4526189	-2,092838	4,5078344	y0	b1	f0	R0
B2.b2.g1.p1.u3	0,95904688	0,09489456	0,7962373	0,1443523	-0,24826756	-0,2613343	-1,590257	1,8727672	y0	b2	f0	R0
B4.b5.g1.p1.u3	0,5478332	0,10599081	0,7684492	0,1079358	-0,2130706	-0,2242848	-1,473225	1,0362134	y0	b5	f0	R0
B6.b7.g1.p1.u3	0,48377106	0,02315142	0,6702016	0,1050398	-0,16684312	-0,1756243	-1,303652	0,9862875	y0	b7	f0	R0
f6.g1.p1.u3	1,88506887	0,01300685	0,8612113	0,1656481	-0,34853292	-0,3668768	-1,88421	2,12831	y0	b0	f6	R0
B1.b1.f6.g1.p1.u3	2,40726533	1,22313133	0,9037307	0,4361162	-0,42236128	-0,4445908	-2,074195	4,601062	y0	b1	f6	R0
B2.b2.f6.g1.p1.u3	0,7826732	2,30E-01	0,5589065	1,09E-01	-0,13060972	-0,1374839	-1,153441	1,97E+00	y0	b2	f6	R0
B4.b5.f6.g1.p1.u3	0,07716588	4,42E-02	0,6840983	1,03E-01	-0,15718265	-0,1654554	-1,265347	9,14E-01	y0	b5	f6	R0
B6.b7.f6.g1.p1.u3	0,31722389	9,74E-02	0,6836604	1,12E-01	-0,16598335	-0,1747193	-1,300288	1,12E+00	y0	b7	f6	R0
f7.g1.p1.u3	1,82260147	3,15E-01	0,7908802	1,99E-01	-0,3030882	-0,3190402	-1,757082	2,92E+00	y0	b0	f7	R0
B1.b1.f7.g1.p1.u3	2,28890065	1,70E+00	0,8701153	4,96E-01	-0,39023954	-0,4107785	-1,993761	4,87E+00	y0	b1	f7	R0
B2.b2.f7.g1.p1.u3	0,85098964	5,02E-01	0,4775683	1,15E-01	-0,09993754	-0,1051974	-1,008955	2,70E+00	y0	b2 	f7	R0 
B4.b5.f7.g1.p1.u3	0,09832319	3,06E-01	0,5526187	1,04E-01	-0,10812026	-0,1138108	-1,049448	1,65E+00	y0	b5	f7	R0
B6.b7.f7.g1.p1.u3	0,32225561	3,70E-01	0,5615514	1,15E-01	-0,1174822	-0,1236655	-1,09394	2,01E+00	y0	b7	f7	  R0
R1.g1.p1.u3	2,05700927	1,07E-01	0,8644416	1,57E-01	-0,36534037	-0,3845688	-1,929107	2,05E+00	y0	b0	f0	R1
B1.R1.b1.g1.p1.u3	2,50758541	1,06E+00	0,8991418	4,10E-01	-0,42999078	-0,4526219	-2,092845	4,51E+00	y0	b1	f0	R1
B2.R1.b2.g1.p1.u3	1,29888985	3,45E-02	0,8917819	1,62E-01	-0,31910242	-0,3358973	-1,802904	2,03E+00	y0	b2	f0	R1
B4.R1.b5.g1.p1.u3	0,31166001	4,05E-02	0,7628019	1,10E-01	-0,19942589	-0,209922	-1,425274	9,82E-01	y0	b5	f0	R1
B6.R1.b7.g1.p1.u3	0,48345822	2,32E-02	0,6701115	1,05E-01	-0,16679217	-0,1755707	-1,303453	9,86E-01	y0	b7	f0	R1
R1.f6.g1.p1.u3	1,88506071	1,30E-02	0,8612037	1,66E-01	-0,34852791	-0,3668715	-1,884197	2,13E+00	y0	b0	f6	R1
B1.R1.b1.f6.g1.p1.u3	2,40727177	1,22E+00	0,9037321	4,36E-01	-0,4223628	-0,4445924	-2,074198	4,60E+00	y0	b1	f6	R1
B2.R1.b2.f6.g1.p1.u3	0,78268498	2,30E-01	0,558883	1,09E-01	-0,13060034	-0,137474	-1,153399	1,97E+00	y0	b2 	f6	R1
B4.R1.b5.f6.g1.p1.u3	0,0771709	4,42E-02	0,6840836	1,03E-01	-0,15717699	-0,1654495	-1,265325	9,14E-01	y0	b5	f6	R1
B6.R1.b7.f6.g1.p1.u3	0,31722574	9,74E-02	0,683647	1,12E-01	-0,16597784	-0,1747135	-1,300267	1,12E+00	y0	b7	f6	R1
R1.f7.g1.p1.u3	1,82259476	3,15E-01	0,7908723	1,99E-01	-0,30308311	-0,3190349	-1,757067	2,92E+00	y0	b0	f7	R1
B1.R1.b1.f7.g1.p1.u3	2,2889027	1,70E+00	0,870115	4,96E-01	-0,39023955	-0,4107785	-1,993761	4,87E+00	y0	b1	f7	R1
B2.R1.b2.f7.g1.p1.u3	0,85101121	5,02E-01	0,4775488	1,15E-01	-0,0999306	-0,1051901	-1,00892	2,70E+00	y0	b2	f7	R1
