	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	M	b	f
R2.g1.p1.u3.y1	2,0461152	0,102030174	0,8575638	0,15624383	-0,36033099	-0,37929578	-1,9158357	2,0402197	M0	b0	f0
M4.R2.g1.p1.u3.y1	2,2807597	0,415697122	0,8734108	0,12996983	-0,39144966	-0,41205227	-1,9968498	1,5819438	M4	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,060122442	0,8991416	0,41049166	-0,42999018	-0,45262125	-2,0928433	4,5078366	M0	b1	f0
M4.B1.R2.b1.g1.p1.u3.y1	2,55176558	0,747587718	0,8834003	0,34462441	-0,4249137	-0,44727758	-2,0804526	4,1956859	M4	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	0,104708736	0,5898129	0,10981091	-0,1580625	-0,16638158	-1,2688839	1,8450668	M0	b2	f0
M4.B2.R2.b2.g1.p1.u3.y1	1,42512844	0,139580539	0,6382881	0,09882475	-0,19418313	-0,20440329	-1,406414	1,3351093	M4	b2	f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	0,058582375	0,7778706	0,11105698	-0,2079835	-0,21893	-1,4555324	1,0228945	M0	b5	f0
M4.B4.R2.b5.g1.p1.u3.y1	0,59350121	0,322889687	0,7882889	0,09328796	-0,22442686	-0,2362388	-1,5119759	1,499891	M4	b5	f0
B5.R2.b6.g1.p1.u3.y1	0,86973764	0,017622777	0,7130973	0,11792422	-0,2032789	-0,21397779	-1,4389762	1,2704794	M0	b6	f0
M4.B5.R2.b6.g1.p1.u3.y1	1,13369836	0,246613843	0,7466763	0,10162111	-0,23366929	-0,24596767	-1,5427951	1,1387179	M4 	b6	f0
R2.f1.g1.p1.u3.y1	1,97911709	0,067345407	0,7786938	0,16339641	-0,30809032	-0,3243056	-1,7715217	2,369898	M0	b0	f1
M4.R2.f1.g1.p1.u3.y1	2,15912865	0,172203895	0,7890472	0,13705026	-0,32902353	-0,34634056	-1,8307158	1,9090431	M4	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,44091769	1,274611696	0,8834108	0,43809479	-0,41342615	-0,43518542	-2,0521373	4,6564503	M0	b1	f1
M4.B1.R2.b1.f1.g1.p1.u3.y1	2,51073386	0,93204282	0,8676229	0,37009299	-0,41078558	-0,43240587	-2,0455733	4,3843871	M4	b1	f1 
B2.R2.b2.f1.g1.p1.u3.y1	6,12354829	6,678906678	0,6424453	0,06283617	-0,8156192	-0,85854652	-2,8823795	4,40531	M0	b2	f1
M4.B2.R2.b2.f1.g1.p1.u3.y1	6,08985071	7,503477248	0,6416406	0,05511417	-0,80669751	-0,84915527	-2,8665717	4,1137415	M4	b2	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,05680019	0,096166634	0,8396337	0,12916574	-0,27583022	-0,2903476	-1,6762098	1,2327989	M0	b5	f1
M4.B4.R2.b5.f1.g1.p1.u3.y1	1,15645847	0,326017233	0,818505	0,1056236	-0,2715153	-0,28580557	-1,6630473	1,1576843	M4	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	0,81346236	0,147739282	0,6490183	0,11960323	-0,17103635	-0,18003826	-1,3199323	1,6986248	M0	b6	f1
M4.B5.R2.b6.f1.g1.p1.u3.y1	1,05415847	0,086959907	0,6735238	0,10333803	-0,19336506	-0,20354217	-1,4034484	1,0916369	M4	b6	f1
R2.f10.g1.p1.u3.y1	2,29195046	0,4944893	0,8868337	0,12550228	-0,40062669	-0,4217123	-2,020121	1,6306082	M0	b0	f10
M4.R2.f10.g1.p1.u3.y1	2,60615039	1,035793284	0,9131792	0,10176422	-0,44918027	-0,47282134	-2,1390345	2,2755638	M4	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,73982909	0,582831303	0,9116686	0,337272	-0,46313638	-0,48751198	-2,1720104	4,0856108	M0	b1	f10
M4.B1.R2.b1.f10.g1.p1.u3.y1	2,7772284	0,311534309	0,8967634	0,27659805	-0,45801504	-0,4821211	-2,159968	3,6364905	M4	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,70464896	8,145066098	0,9164976	0,0982777	-0,93882851	-0,98824054	-3,092435	3,0129058	M0	b2	f10
M4.B2.R2.b2.f10.g1.p1.u3.y1	5,59231233	8,637244444	0,9341289	0,08415896	-0,92591804	-0,97465057	-3,0710983	3,5805903	M4	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	0,73082272	0,414410058	0,8872128	0,10079579	-0,27859263	-0,2932554	-1,6845824	1,8015015	M0	b5	f10
M4.B4.R2.b5.f10.g1.p1.u3.y1	1,20852947	0,916706369	0,9401579	0,08538122	-0,33724346	-0,35499311	-1,8534429	3,5493406	M4	b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,3267546	0,349589405	0,8530902	0,11152207	-0,30089789	-0,31673462	-1,7507213	1,3854262	M0	b6	f10
M4.B5.R2.b6.f10.g1.p1.u3.y1	1,80452321	0,865029679	0,9156855	0,09474537	-0,37235393	-0,39195151	-1,9475357	2,408848	M4	b6	f10
R2.f15.g1.p1.u3.y1	4,62452693	1,022899259	0,941419	0,27892944	-0,84405102	-0,89370108	-2,6636725	3,8043232	M0	b0	f15
M4.R2.f15.g1.p1.u3.y1	5,06178027	3,215543478	0,8991041	0,18174596	-0,90891676	-0,96238245	-2,7641304	3,7126916	M4	b0	f15
B1.R2.b1.f15.g1.p1.u3.y1	4,22558653	0,948748415	0,8790834	0,78248086	-0,73268087	-0,77577975	-2,4817264	5,0377103	M0	b1	f15
M4.B1.R2.b1.f15.g1.p1.u3.y1	4,32358727	0,541227979	0,8511508	0,62065996	-0,73382382	-0,77698992	-2,4836613	4,8749605	M4	b1	f15
B2.R2.b2.f15.g1.p1.u3.y1	3,51833233	0,079465695	0,9085143	0,34321398	-0,61794951	-0,65657135	-2,3235293	3,8333094	M0	b2	f15
M4.B2.R2.b2.f15.g1.p1.u3.y1	3,94287347	0,422003063	0,9107567	0,26581174	-0,6956753	-0,739155	-2,4653294	3,6045255	M4	b2	f15
B4.R2.b5.f15.g1.p1.u3.y1	3,54640445	0,626126902	0,9553295	0,30732633	-0,77760597	-0,83314925	-2,0886328	2,8678652	M0	b5	f15
M4.B4.R2.b5.f15.g1.p1.u3.y1	3,97325277	1,78138311	0,911661	0,22400671	-0,84459143	-0,90491939	-2,1767354	2,7346044	M4	b5	f15
B5.R2.b6.f15.g1.p1.u3.y1	3,77104889	0,648861095	0,9131947	0,32751272	-0,80325601	-0,86063144	-2,1228011	3,129629	M0	b6	f15
M4.B5.R2.b6.f15.g1.p1.u3.y1	4,13131935	1,832600395	0,8775386	0,2375385	-0,863727	-0,92542179	-2,201256	2,9770215	M4	b6	f15
R2.f16.g1.p1.u3.y1	3,14325977	0,496396516	0,8725946	0,39326275	-0,54004875	-0,57181633	-2,1306541	4,0556594	M0	b0	f16
M4.R2.f16.g1.p1.u3.y1	3,48476288	0,046874429	0,8924822	0,31573517	-0,60727983	-0,64300218	-2,2593884	3,6635944	M4	b0	f16
B1.R2.b1.f16.g1.p1.u3.y1	3,96750746	1,687235819	0,8598021	0,92843291	-0,66988674	-0,70929184	-2,3729969	5,17691	M0	b1	f16
M4.B1.R2.b1.f16.g1.p1.u3.y1	4,04324083	1,21641154	0,8360881	0,76116638	-0,66721768	-0,70646578	-2,3682647	5,0588132	M4	b1	f16
B2.R2.b2.f16.g1.p1.u3.y1	2,44812722	0,986967471	0,775867	0,4299332	-0,41255336	-0,44005692	-1,7182975	3,950477	M0	b2	f16
M4.B2.R2.b2.f16.g1.p1.u3.y1	2,7349232	0,499947675	0,8014686	0,36516196	-0,47062415	-0,5019991	-1,8352507	3,64744	M4	b2	f16
B4.R2.b5.f16.g1.p1.u3.y1	1,94977393	0,557502608	0,8963941	0,4057702	-0,46875215	-0,50481001	-1,6203442	3,038993	M0	b5	f16
M4.B4.R2.b5.f16.g1.p1.u3.y1	2,2999527	0,146059253	0,909682	0,33768749	-0,53021861	-0,57100465	-1,7233089	2,7048326	M4	b5	f16
B5.R2.b6.f16.g1.p1.u3.y1	2,52646665	0,553131656	0,9073036	0,46909678	-0,56085145	-0,60091226	-1,7738065	3,4598157	M0	b6	f16
M4.B5.R2.b6.f16.g1.p1.u3.y1	2,85188899	0,124974294	0,9165709	0,3864433	-0,62292845	-0,66742334	-1,8693964	3,1120026	M4	b6	f16
R2.f17.g1.p1.u3.y1	3,07186032	0,634546954	0,9248741	0,40672381	-0,52707314	-0,55635498	-2,2624132	4,2798037	M0	b0	f17
M4.R2.f17.g1.p1.u3.y1	3,4243752	0,154877667	0,9416899	0,32467258	-0,58722534	-0,61984897	-2,3880251	3,8650144	M4	b0	  f17
B1.R2.b1.f17.g1.p1.u3.y1	4,55649498	1,324350325	0,9749709	1,07411403	-0,79355404	-0,83764037	-2,7760338	5,4834803	M0	b1	f17
M4.B1.R2.b1.f17.g1.p1.u3.y1	4,60668966	0,93399941	0,9480904	0,88097221	-0,78880432	-0,83262678	-2,7677135	5,3681579	M4	b1	f17
B2.R2.b2.f17.g1.p1.u3.y1	2,29338612	1,230390199	0,7227895	0,35024423	-0,30741539	-0,32449403	-1,7278232	4,4393236	M0	b2	f17
M4.B2.R2.b2.f17.g1.p1.u3.y1	2,58849496	0,710197286	0,7469895	0,29622206	-0,35066042	-0,37014156	-1,8453548	4,0813734	M4	b2	f17
B4.R2.b5.f17.g1.p1.u3.y1	1,61471897	0,895506884	0,8531544	0,3399543	-0,33978061	-0,3610169	-1,7229432	3,5911644	M0	b5	f17
M4.B4.R2.b5.f17.g1.p1.u3.y1	1,96516516	0,435046574	0,8638797	0,28066747	-0,37966385	-0,40339284	-1,8212572	3,1805084	M4	b5	f17
B5.R2.b6.f17.g1.p1.u3.y1	2,01137061	0,982652283	0,8688178	0,39417164	-0,38740819	-0,41162121	-1,8397383	3,8882349	M0	b6	f17 
M4.B5.R2.b6.f17.g1.p1.u3.y1	2,31699229	0,494503763	0,8800549	0,32319303	-0,42800123	-0,4547513	-1,9337226	3,474674	M4	b6	f17
R2.f18.g1.p1.u3.y1	3,07636711	0,633672524	0,9251411	0,40713628	-0,52784516	-0,55716989	-2,2640695	4,2815435	M0	b0	f18
M4.R2.f18.g1.p1.u3.y1	3,42885854	0,154092007	0,9418866	0,32497704	-0,58800942	-0,62067661	-2,3896188	3,8671391	M4	b0	f18
B1.R2.b1.f18.g1.p1.u3.y1	4,55558979	1,328525002	0,9759776	1,07715548	-0,79389234	-0,83799747	-2,7766254	5,4843464	M0	b1	f18
M4.B1.R2.b1.f18.g1.p1.u3.y1	4,60509717	0,938675359	0,949221	0,88391634	-0,78911118	-0,83295069	-2,7682518	5,3693029	M4	b1	f18
B2.R2.b2.f18.g1.p1.u3.y1	2,29460789	1,232968697	0,723075	0,3508873	-0,30770459	-0,32479929	-1,7286357	4,4418848	M0	b2	f18
M4.B2.R2.b2.f18.g1.p1.u3.y1	2,59056954	0,711847911	0,7474389	0,29684103	-0,35117185	-0,3706814	-1,8467	4,0846122	M4	b2	f18
B4.R2.b5.f18.g1.p1.u3.y1	1,61884463	0,896935702	0,8543073	0,34099053	-0,3408088	-0,36210935	-1,7255481	3,5950017	M0	b5	f18
M4.B4.R2.b5.f18.g1.p1.u3.y1	1,97020106	0,435768955	0,8651077	0,28155679	-0,38091776	-0,40472512	-1,8242622	3,1851373	M4	b5	f18
B5.R2.b6.f18.g1.p1.u3.y1	2,01333809	0,982682849	0,8693828	0,39463186	-0,38795487	-0,41220205	-1,8410359	3,8892567	M0	b6	f18
M4.B5.R2.b6.f18.g1.p1.u3.y1	2,31910222	0,494449475	0,8806131	0,32357504	-0,42859752	-0,45538487	-1,9350691	3,4760006	M4	b6	f18
R2.f2.g1.p1.u3.y1	1,86334473	0,140796105	0,8079868	0,17793311	-0,31610955	-0,3327469	-1,7944289	2,512551	M0	b0	f2
M4.R2.f2.g1.p1.u3.y1	2,04597179	0,089417202	0,8187639	0,1502582	-0,33736127	-0,35511713	-1,8537666	2,0848896	M4	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,424660581	0,8888501	0,46520825	-0,41156867	-0,43323018	-2,0475221	4,7429464	M0	b1	f2
M4.B1.R2.b1.f2.g1.p1.u3.y1	2,42217846	1,092145641	0,8717665	0,39546486	-0,40436069	-0,42564283	-2,0295133	4,4958965	M4	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	0,348552029	0,5045702	0,10873101	-0,10993743	-0,11572361	-1,0582304	2,3211406	M0	b2	f2
