	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,4624554	0,50225654	0,7184178	0,1507366	-0,4178882	-0,4477373	-1,531131	1,6886164	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,3703419	0,89190532	0,9285692	0,55760525	-0,5487646	-0,5879621	-1,7545888	3,6794455	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,7548782	0,12884472	0,6271788	0,1429533	-0,2671702	-0,2862538	-1,2242674	1,5709881	b2	f0
B4.R2.b5.g1.p1.u3.y1	1,1239542	0,32866634	0,819453	0,1396714	-0,3253008	-0,3485365	-1,3509051	0,9557385	b5	f0
B5.R2.b6.g1.p1.u3.y1	1,4296867	0,18637399	0,7818309	0,15940744	-0,3336499	-0,357482	-1,3681313	1,1372337	b6	f0
R2.f1.g1.p1.u3.y1	2,4038975	0,25127379	0,6638929	0,1627205	-0,3672434	-0,393475	-1,4353549	1,861809	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,3608359	1,0614818	0,9092929	0,59145312	-0,535406	-0,5736493	-1,7331012	3,7955716	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	5,106608	12,82375599	0,5531503	0,05010294	-0,8703981	-0,9325694	-2,2097405	4,7073138	b2	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,8617228	0,49684014	0,8109145	0,14618895	-0,4013266	-0,4299928	-1,5004837	1,1340979	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	1,337364	0,03191554	0,7246839	0,16552629	-0,290005	-0,3107197	-1,2755136	1,4346179	b6	f1
R2.f10.g1.p1.u3.y1	2,6220969	1,04710406	0,7475176	0,12170164	-0,4649436	-0,4981539	-1,6150369	1,5644908	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,4684399	0,50182505	0,9484065	0,46818741	-0,576378	-0,6175478	-1,7981917	3,3635322	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,0133848	39,07139225	0,7222482	0,07769459	-0,9926847	-1,0635907	-2,3598694	3,590427	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	1,5095239	0,83319909	0,9432089	0,12865974	-0,437827	-0,4691004	-1,5672331	1,7519561	b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,9560386	0,74894142	0,8949273	0,14302232	-0,4669407	-0,5002936	-1,6185018	1,3282152	b6	f10
R2.f15.g1.p1.u3.y1	4,284971	1,82015089	0,7923411	0,23490005	-0,860019	-0,9214489	-2,1965259	3,2832426	b0	f15
B1.R2.b1.f15.g1.p1.u3.y1	3,8365071	0,81226395	0,9108226	1,01938364	-0,815823	-0,874096	-2,1393423	4,4239677	b1	f15
B2.R2.b2.f15.g1.p1.u3.y1	3,8013368	0,38795923	0,8226593	0,34286702	-0,7602227	-0,8145244	-2,0651554	3,4447273	b2	f15
B4.R2.b5.f15.g1.p1.u3.y1	3,5464045	0,6261269	0,9553295	0,30732633	-0,777606	-0,8331493	-2,0886328	2,8678652	b5	f15
B5.R2.b6.f15.g1.p1.u3.y1	3,7710489	0,6488611	0,9131947	0,32751272	-0,803256	-0,8606314	-2,1228011	3,129629	b6	f15
R2.f16.g1.p1.u3.y1	3,3486854	0,08832002	0,7848183	0,38019799	-0,6308024	-0,6758597	-1,881174	3,4946401	b0	f16
B1.R2.b1.f16.g1.p1.u3.y1	3,3700588	1,98048781	0,9187379	1,28864404	-0,7235349	-0,775216	-2,0147078	4,5509456	b1	f16
B2.R2.b2.f16.g1.p1.u3.y1	2,6865488	0,72581417	0,7665033	0,45219529	-0,4900956	-0,5251024	-1,6581458	3,7214111	b2	f16
