	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	c	b	f
c1.g1.r1.u3.y1	2,502753	8,68E-01	0,7921632	0,09249429	-0,3618357	-0,3808796	-1,919832	1,72803	c1	b0	f0
c2.g1.r1.u3.y1	2,48979	8,28E-01	0,8357628	0,10002854	-0,3885729	-0,4090242	-1,989499	1,697035	c2	b0	f0
c3.g1.r1.u3.y1	3,132105	1,36E+00	0,9740261	0,10716828	-0,5491462	-0,5780486	-2,36511	2,253847	c3	b0	f0
B1.b1.c1.g1.r1.u3.y1	3,136463	1,15E-01	0,9046243	2,08E-01	-0,5062185	-0,5328615	-2,270787	2,81E+00	c1	b1	f0
B1.b1.c2.g1.r1.u3.y1	3,227172	1,07E-01	0,9194365	2,19E-01	-0,5274926	-0,5552554	-2,318012	2,93E+00	c2	b1	f0
B1.b1.c3.g1.r1.u3.y1	3,278544	1,76E-01	0,9387807	2,14E-01	-0,5466213	-0,5753909	-2,359667	2,78E+00	c3	b1	f0
B2.b2.c1.g1.r1.u3.y1	4,055019	3,04E+00	1,0528226	9,21E-02	-0,7243544	-0,7624783	-2,716333	3,43E+00	c1	b2	f0
B2.b2.c2.g1.r1.u3.y1	3,63899	2,12E+00	0,9788225	9,44E-02	-0,6216136	-0,6543301	-2,516331	3,05E+00	c2	b2	f0
B2.b2.c3.g1.r1.u3.y1	3,514657	2,25E+00	1,0999413	1,01E-01	-0,6696793	-0,7049256	-2,611806	3,13E+00	c3	b2	f0
B4.b5.c1.g1.r1.u3.y1	1,388036	1,28E+00	0,7974183	6,20E-02	-0,2756906	-0,2902007	-1,675786	5,03E+00	c1	b5	f0
B4.b5.c2.g1.r1.u3.y1	1,563967	1,26E+00	0,8540627	6,93E-02	-0,3187994	-0,3355783	-1,802047	4,55E+00	c2	b5	f0
B4.b5.c3.g1.r1.u3.y1	1,723196	1,41E+00	0,9021295	7,10E-02	-0,3579131	-0,3767506	-1,909397	4,87E+00	c3	b5	f0
B6.b7.c1.g1.r1.u3.y1	1,668403	1,23E+00	0,8039692	6,73E-02	-0,2989574	-0,314692	-1,745067	4,12E+00	c1	b7	f0
B6.b7.c2.g1.r1.u3.y1	1,845708	1,21E+00	0,8560894	7,48E-02	-0,3423103	-0,3603266	-1,867314	3,70E+00	c2	b7	f0
B6.b7.c3.g1.r1.u3.y1	1,979906	1,37E+00	0,9199735	7,74E-02	-0,3904148	-0,410963	-1,994209	4,12E+00	c3	b7	 f0
c1.f12.g1.r1.u3.y1	6,484199	6,75E+01	0,6881167	1,58E-02	-0,9568727	-1,0072344	-3,122012	2,51E+01	c1	b0	f12
c2.f12.g1.r1.u3.y1	6,475712	7,76E+01	0,6943282	1,67E-02	-0,970459	-1,0215358	-3,144098	2,50E+01	c2	b0	f12
c3.f12.g1.r1.u3.y1	6,552048	3,18E+01	0,7108794	3,96E-02	-0,9658359	-1,0166694	-3,1366	1,16E+01	c3	b0	f12
B1.b1.c1.f12.g1.r1.u3.y1	3,169699	1,15E-01	0,8741929	2,02E-01	-0,4902371	-0,5160391	-2,234655	2,80E+00	c1	b1	f12 
B1.b1.c2.f12.g1.r1.u3.y1	3,238495	9,79E-02	0,8883027	2,13E-01	-0,5085054	-0,5352688	-2,275911	2,93E+00	c2	b1	f12
